dep,ratio,sexe,jour,jour_fr,tx_incid,tx_pos,tx_occupation_sae,R,hosp,rea,rad,dc,indic_dc,indic_rad
1,64.97,0,2020-03-15,15 mars 2020,0,0,16,0,0.06,0,0.02,0,0,0.02
2,53.43,0,2020-03-15,15 mars 2020,0,0,33,0,1.14,0.37,0.92,0.47,0.19,0.28
3,33.90,0,2020-03-15,15 mars 2020,0,0,16,0,0.15,0,0.29,0,0,0.18
4,16.17,0,2020-03-15,15 mars 2020,0,0,14,0,0.25,0.06,0.19,0,0,0.06
5,14.16,0,2020-03-15,15 mars 2020,0,0,14,0,0.92,0.07,0.71,0,0,0.07
6,108.06,0,2020-03-15,15 mars 2020,0,0,14,0,0.43,0.06,0.56,0.06,0.02,0.09
7,32.86,0,2020-03-15,15 mars 2020,0,0,16,0,0.46,0.09,0.09,0.03,0.03,0.09
8,27.13,0,2020-03-15,15 mars 2020,0,0,71,0,0.11,0.04,0.04,0,0,0
9,15.23,0,2020-03-15,15 mars 2020,0,0,15,0,0.13,0.07,0.2,0,0,0.07
10,31.16,0,2020-03-15,15 mars 2020,0,0,71,0,0.39,0.06,0,0,0,0
11,37.02,0,2020-03-15,15 mars 2020,0,0,15,0,0.7,0.3,0.35,0.24,0.08,0.11
12,28.11,0,2020-03-15,15 mars 2020,0,0,15,0,0.43,0.07,0.14,0.04,0.04,0.04
13,204.39,0,2020-03-15,15 mars 2020,0,0,14,0,0.99,0.16,0.63,0.02,0,0.21
14,69.58,0,2020-03-15,15 mars 2020,0,0,9,0,0.09,0.04,0.04,0.01,0.01,0.03
15,14.42,0,2020-03-15,15 mars 2020,0,0,16,0,0.35,0.07,0,0,0,0
16,35.20,0,2020-03-15,15 mars 2020,0,0,7,0,0.09,0.03,0.06,0,0,0.06
17,64.82,0,2020-03-15,15 mars 2020,0,0,7,0,0.17,0.06,0.03,0,0,0.03
18,30.48,0,2020-03-15,15 mars 2020,0,0,8,0,0,0,0,0,0,0
19,24.19,0,2020-03-15,15 mars 2020,0,0,7,0,0.04,0,0,0,0,0
21,53.68,0,2020-03-15,15 mars 2020,0,0,40,0,1.53,0.58,0.84,0.06,0.04,0.45
22,59.87,0,2020-03-15,15 mars 2020,0,0,16,0,0.12,0.02,0.05,0.02,0.02,0
23,11.87,0,2020-03-15,15 mars 2020,0,0,7,0,0.08,0,0,0,0,0
24,41.26,0,2020-03-15,15 mars 2020,0,0,7,0,0.1,0.07,0.05,0,0,0.02
25,54.09,0,2020-03-15,15 mars 2020,0,0,40,0,0.89,0.39,0.35,0.11,0.04,0.13
26,51.62,0,2020-03-15,15 mars 2020,0,0,16,0,0.83,0.17,0.04,0.04,0.04,0.04
27,61.02,0,2020-03-15,15 mars 2020,0,0,9,0,0.11,0.05,0,0.02,0.02,0
28,43.40,0,2020-03-15,15 mars 2020,0,0,8,0,0.3,0.09,0.02,0.02,0,0.05
29,91.05,0,2020-03-15,15 mars 2020,0,0,16,0,0.22,0.05,0.07,0.01,0.01,0.03
2A,15.99,0,2020-03-15,15 mars 2020,0,0,78,0,3.88,0.88,0.75,0.25,0.13,0.56
2B,17.79,0,2020-03-15,15 mars 2020,0,0,78,0,0.34,0,1.29,0,0,1.24
30,74.82,0,2020-03-15,15 mars 2020,0,0,15,0,0.11,0.04,0.15,0.01,0.01,0.05
31,138.84,0,2020-03-15,15 mars 2020,0,0,15,0,0.37,0.1,0.12,0.01,0.01,0.04
32,19.13,0,2020-03-15,15 mars 2020,0,0,15,0,0.21,0.16,0,0,0,0
33,161.08,0,2020-03-15,15 mars 2020,0,0,7,0,0.24,0.09,0.07,0.01,0.01,0.04
34,116.00,0,2020-03-15,15 mars 2020,0,0,15,0,0.56,0.19,0.28,0.03,0.02,0.08
35,107.39,0,2020-03-15,15 mars 2020,0,0,16,0,0.19,0.09,0.17,0.01,0.01,0.15
36,21.85,0,2020-03-15,15 mars 2020,0,0,8,0,0.23,0.09,0,0,0,0
37,61.11,0,2020-03-15,15 mars 2020,0,0,8,0,0.2,0.08,0.02,0.02,0.02,0.02
38,127.28,0,2020-03-15,15 mars 2020,0,0,16,0,0.24,0.02,0.1,0.01,0,0.04
39,25.94,0,2020-03-15,15 mars 2020,0,0,40,0,0.27,0.04,0.08,0,0,0.04
40,41.18,0,2020-03-15,15 mars 2020,0,0,7,0,0,0,0,0,0,0
41,33.26,0,2020-03-15,15 mars 2020,0,0,8,0,0.12,0,0.03,0,0,0.03
42,76.25,0,2020-03-15,15 mars 2020,0,0,16,0,0.93,0.24,0.16,0.08,0.03,0.07
43,22.74,0,2020-03-15,15 mars 2020,0,0,16,0,0.18,0.09,0.26,0,0,0.04
44,141.33,0,2020-03-15,15 mars 2020,0,0,12,0,0.27,0.08,0.08,0.01,0,0.02
45,68.15,0,2020-03-15,15 mars 2020,0,0,8,0,0.44,0.09,0.04,0,0.01,0.03
46,17.15,0,2020-03-15,15 mars 2020,0,0,15,0,0.06,0,0.29,0,0,0.17
47,33.32,0,2020-03-15,15 mars 2020,0,0,7,0,0.39,0.12,0.03,0,0,0
48,7.55,0,2020-03-15,15 mars 2020,0,0,15,0,0.13,0,0,0,0,0
49,82.07,0,2020-03-15,15 mars 2020,0,0,12,0,0.27,0.07,0.46,0.02,0.02,0.09
50,49.70,0,2020-03-15,15 mars 2020,0,0,9,0,0.3,0.08,0.04,0,0,0.02
51,57.33,0,2020-03-15,15 mars 2020,0,0,71,0,1.17,0.28,0.47,0.03,0.02,0.19
52,17.51,0,2020-03-15,15 mars 2020,0,0,71,0,0.51,0,0.29,0.23,0.17,0.29
53,30.63,0,2020-03-15,15 mars 2020,0,0,12,0,0.23,0.07,0.1,0,0,0.03
54,73.31,0,2020-03-15,15 mars 2020,0,0,71,0,1.04,0.48,0.03,0.12,0.14,0.01
55,18.74,0,2020-03-15,15 mars 2020,0,0,71,0,3.2,0.32,0.37,0.05,0.05,0.27
56,75.35,0,2020-03-15,15 mars 2020,0,0,16,0,0.82,0.19,0.84,0.16,0.04,0.03
57,103.86,0,2020-03-15,15 mars 2020,0,0,71,0,2.75,0.62,0.33,0.24,0.04,0.14
58,20.59,0,2020-03-15,15 mars 2020,0,0,40,0,0.05,0.05,0,0,0,0
59,261.39,0,2020-03-15,15 mars 2020,0,0,33,0,0.53,0.16,0.14,0.02,0.01,0.09
60,82.98,0,2020-03-15,15 mars 2020,0,0,33,0,1.66,0.34,0.52,0.22,0.13,0.17
61,28.25,0,2020-03-15,15 mars 2020,0,0,9,0,0.14,0.04,0.14,0,0,0.07
62,147.51,0,2020-03-15,15 mars 2020,0,0,33,0,0.34,0.14,0.24,0.01,0.01,0.09
63,65.52,0,2020-03-15,15 mars 2020,0,0,16,0,0.15,0.03,0.15,0,0,0.06
64,67.72,0,2020-03-15,15 mars 2020,0,0,7,0,0.15,0.01,0.03,0.01,0.01,0.01
65,22.75,0,2020-03-15,15 mars 2020,0,0,15,0,0.22,0.04,0,0,0,0
66,48.21,0,2020-03-15,15 mars 2020,0,0,15,0,0.54,0.31,0.06,0.1,0.06,0.04
67,112.53,0,2020-03-15,15 mars 2020,0,0,71,0,3.73,0.96,0.45,0.28,0.07,0.25
68,76.76,0,2020-03-15,15 mars 2020,0,0,71,0,6.74,1.22,2.55,1.58,0.26,0.51
69,187.81,0,2020-03-15,15 mars 2020,0,0,16,0,1.45,0.22,0.38,0.11,0.09,0.24
70,23.43,0,2020-03-15,15 mars 2020,0,0,40,0,1.11,0.26,0.21,0,0,0.09
71,55.31,0,2020-03-15,15 mars 2020,0,0,40,0,0.96,0.11,0.25,0.18,0.04,0.18
72,56.69,0,2020-03-15,15 mars 2020,0,0,12,0,0.16,0,0.09,0,0,0.07
73,43.38,0,2020-03-15,15 mars 2020,0,0,16,0,0.41,0.05,0.18,0,0,0.09
74,82.97,0,2020-03-15,15 mars 2020,0,0,16,0,0.65,0.13,0.67,0.08,0.01,0.07
75,216.85,0,2020-03-15,15 mars 2020,0,0,48,0,2.99,0.76,0.56,0.17,0.05,0.16
76,125.70,0,2020-03-15,15 mars 2020,0,0,9,0,0.48,0.08,0.05,0.04,0.01,0.01
77,142.27,0,2020-03-15,15 mars 2020,0,0,48,0,0.63,0.25,0.15,0.02,0.02,0.06
78,143.84,0,2020-03-15,15 mars 2020,0,0,48,0,1.21,0.27,0.21,0.1,0.03,0.1
79,37.57,0,2020-03-15,15 mars 2020,0,0,7,0,0.13,0.03,0.21,0,0,0.13
80,57.02,0,2020-03-15,15 mars 2020,0,0,33,0,1.79,0.61,0.37,0.12,0.09,0.09
81,39.24,0,2020-03-15,15 mars 2020,0,0,15,0,0.2,0.03,0.08,0.03,0.03,0.05
82,26.26,0,2020-03-15,15 mars 2020,0,0,15,0,0.11,0.04,0,0.04,0,0
83,107.18,0,2020-03-15,15 mars 2020,0,0,14,0,0.37,0.18,0.91,0.02,0.02,0.11
84,56.61,0,2020-03-15,15 mars 2020,0,0,14,0,0.35,0.09,0.18,0.02,0,0.04
85,68.02,0,2020-03-15,15 mars 2020,0,0,12,0,0.09,0.03,0.1,0,0,0.07
86,43.81,0,2020-03-15,15 mars 2020,0,0,7,0,0.27,0,0.02,0.02,0,0.02
87,37.42,0,2020-03-15,15 mars 2020,0,0,7,0,0.21,0.05,0.05,0.03,0.03,0
88,36.49,0,2020-03-15,15 mars 2020,0,0,71,0,1.51,0.16,0.22,0.44,0.19,0.19
89,33.83,0,2020-03-15,15 mars 2020,0,0,40,0,0.33,0.09,0.03,0.06,0.06,0
90,14.45,0,2020-03-15,15 mars 2020,0,0,40,0,4.22,0.76,0.14,0.42,0.62,0.69
91,131.37,0,2020-03-15,15 mars 2020,0,0,48,0,1.15,0.27,0.06,0.04,0.02,0.03
92,161.28,0,2020-03-15,15 mars 2020,0,0,48,0,1.85,0.5,0.44,0.11,0.06,0.14
93,164.61,0,2020-03-15,15 mars 2020,0,0,48,0,1.34,0.4,0.22,0.12,0.05,0.1
94,140.12,0,2020-03-15,15 mars 2020,0,0,48,0,1.91,0.48,0.56,0.09,0.04,0.25
95,124.27,0,2020-03-15,15 mars 2020,0,0,48,0,1.92,0.45,0.56,0.11,0.03,0.17
971,39.07,0,2020-03-15,15 mars 2020,0,0,0,0,0,0,0,0,0,0
972,37.12,0,2020-03-15,15 mars 2020,0,0,19,0,0.51,0.13,0,0.03,0,0
973,28.16,0,2020-03-15,15 mars 2020,0,0,0,0,0,0,0,0,0,0
974,86.58,0,2020-03-15,15 mars 2020,0,0,4,0,0.02,0.02,0,0,0,0
976,25.92,0,2020-03-15,15 mars 2020,0,0,0,0,0,0,0,0,0,0
1,64.97,0,2020-03-22,22 mars 2020,0,0,77,0,0.82,0.18,0.31,0.05,0.03,0.08
2,53.43,0,2020-03-22,22 mars 2020,0,0,75,0,2.51,0.66,1.91,0.77,0.07,0.43
3,33.90,0,2020-03-22,22 mars 2020,0,0,77,0,0.65,0.06,0.91,0.12,0.06,0.18
4,16.17,0,2020-03-22,22 mars 2020,0,0,45,0,0.74,0.06,1.3,0,0,0.8
5,14.16,0,2020-03-22,22 mars 2020,0,0,45,0,2.26,0.49,1.84,0.07,0.07,0.28
6,108.06,0,2020-03-22,22 mars 2020,0,0,45,0,0.97,0.2,0.99,0.14,0.03,0.21
7,32.86,0,2020-03-22,22 mars 2020,0,0,77,0,1.89,0.27,2.01,0.3,0.12,1
8,27.13,0,2020-03-22,22 mars 2020,0,0,163,0,0.92,0.29,0.07,0,0,0.04
9,15.23,0,2020-03-22,22 mars 2020,0,0,45,0,0.53,0.2,0.26,0,0,0.07
10,31.16,0,2020-03-22,22 mars 2020,0,0,163,0,2.05,0.42,0.1,0.22,0.13,0.1
11,37.02,0,2020-03-22,22 mars 2020,0,0,45,0,1.59,0.51,0.92,0.46,0.08,0.22
12,28.11,0,2020-03-22,22 mars 2020,0,0,45,0,1.17,0.21,0.57,0.21,0.11,0.18
13,204.39,0,2020-03-22,22 mars 2020,0,0,45,0,2.94,0.61,1.76,0.11,0.02,0.32
14,69.58,0,2020-03-22,22 mars 2020,0,0,46,0,1.16,0.39,0.23,0.03,0.01,0.06
15,14.42,0,2020-03-22,22 mars 2020,0,0,77,0,0.55,0.28,0.14,0,0,0.07
16,35.20,0,2020-03-22,22 mars 2020,0,0,31,0,0.77,0.14,0.34,0.17,0.06,0.11
17,64.82,0,2020-03-22,22 mars 2020,0,0,31,0,0.63,0.25,0.29,0.02,0.02,0.12
18,30.48,0,2020-03-22,22 mars 2020,0,0,49,0,0.52,0.26,0.1,0.13,0.07,0.07
19,24.19,0,2020-03-22,22 mars 2020,0,0,31,0,1.2,0.25,0.04,0.12,0.04,0.04
21,53.68,0,2020-03-22,22 mars 2020,0,0,98,0,3.76,0.84,2.89,0.65,0.17,0.5
22,59.87,0,2020-03-22,22 mars 2020,0,0,35,0,0.57,0.08,0.1,0.03,0.02,0.05
23,11.87,0,2020-03-22,22 mars 2020,0,0,31,0,0.51,0.17,0,0,0,0
24,41.26,0,2020-03-22,22 mars 2020,0,0,31,0,0.99,0.12,0.39,0,0,0.22
25,54.09,0,2020-03-22,22 mars 2020,0,0,98,0,1.85,0.7,1.33,0.41,0.11,0.28
26,51.62,0,2020-03-22,22 mars 2020,0,0,77,0,3.2,0.89,0.79,0.41,0.1,0.25
27,61.02,0,2020-03-22,22 mars 2020,0,0,46,0,0.61,0.16,0.02,0.02,0.02,0.02
28,43.40,0,2020-03-22,22 mars 2020,0,0,49,0,1.68,0.58,0.35,0.23,0.09,0.09
29,91.05,0,2020-03-22,22 mars 2020,0,0,35,0,0.53,0.12,0.27,0.05,0.02,0.05
2A,15.99,0,2020-03-22,22 mars 2020,0,0,100,0,6.32,1.06,1.56,1.06,0.44,0.25
2B,17.79,0,2020-03-22,22 mars 2020,0,0,100,0,0.39,0.06,2.59,0.11,0.06,0.45
30,74.82,0,2020-03-22,22 mars 2020,0,0,45,0,0.48,0.19,0.25,0.08,0.03,0.04
31,138.84,0,2020-03-22,22 mars 2020,0,0,45,0,1.17,0.43,0.45,0.04,0.01,0.09
32,19.13,0,2020-03-22,22 mars 2020,0,0,45,0,0.84,0.21,0.05,0,0,0.05
33,161.08,0,2020-03-22,22 mars 2020,0,0,31,0,1.34,0.35,0.61,0.11,0.03,0.17
34,116.00,0,2020-03-22,22 mars 2020,0,0,45,0,1.74,0.44,0.8,0.18,0.03,0.14
35,107.39,0,2020-03-22,22 mars 2020,0,0,35,0,0.61,0.15,0.37,0.05,0.02,0.06
36,21.85,0,2020-03-22,22 mars 2020,0,0,49,0,1.88,0.41,0.09,0.37,0.14,0.05
37,61.11,0,2020-03-22,22 mars 2020,0,0,49,0,0.83,0.25,0.36,0.07,0.02,0.1
38,127.28,0,2020-03-22,22 mars 2020,0,0,77,0,0.94,0.24,0.45,0.05,0.02,0.09
39,25.94,0,2020-03-22,22 mars 2020,0,0,98,0,1.85,0.46,0.58,0.04,0.04,0.35
40,41.18,0,2020-03-22,22 mars 2020,0,0,31,0,0.24,0.07,0.12,0,0,0.07
41,33.26,0,2020-03-22,22 mars 2020,0,0,49,0,0.87,0.12,0.36,0.09,0.09,0.15
42,76.25,0,2020-03-22,22 mars 2020,0,0,77,0,4.21,0.88,0.62,0.35,0.1,0.17
43,22.74,0,2020-03-22,22 mars 2020,0,0,77,0,0.62,0.26,0.57,0.09,0.04,0.13
44,141.33,0,2020-03-22,22 mars 2020,0,0,57,0,1.02,0.28,0.29,0.13,0.05,0.06
45,68.15,0,2020-03-22,22 mars 2020,0,0,49,0,1.22,0.43,0.34,0.09,0.03,0.07
46,17.15,0,2020-03-22,22 mars 2020,0,0,45,0,0.17,0.06,0.29,0,0,0.06
47,33.32,0,2020-03-22,22 mars 2020,0,0,31,0,0.75,0.24,0.15,0.09,0.06,0.03
48,7.55,0,2020-03-22,22 mars 2020,0,0,45,0,1.06,0.26,0.53,0,0,0.13
49,82.07,0,2020-03-22,22 mars 2020,0,0,57,0,1.3,0.35,0.99,0.12,0.04,0.12
50,49.70,0,2020-03-22,22 mars 2020,0,0,46,0,0.64,0.22,0.22,0.08,0.04,0.08
51,57.33,0,2020-03-22,22 mars 2020,0,0,163,0,4.43,0.91,1.97,0.42,0.1,0.59
52,17.51,0,2020-03-22,22 mars 2020,0,0,163,0,3.03,0.63,0.97,0.46,0.11,0.29
53,30.63,0,2020-03-22,22 mars 2020,0,0,57,0,1.5,0.2,0.1,0.16,0.07,0
54,73.31,0,2020-03-22,22 mars 2020,0,0,163,0,4.28,1.79,0.87,0.52,0.07,0.18
55,18.74,0,2020-03-22,22 mars 2020,0,0,163,0,6.94,0.69,1.97,0.75,0.37,0.48
56,75.35,0,2020-03-22,22 mars 2020,0,0,35,0,1.23,0.33,0.98,0.33,0.05,0.13
57,103.86,0,2020-03-22,22 mars 2020,0,0,163,0,7.19,1.4,1.95,1.46,0.29,0.33
58,20.59,0,2020-03-22,22 mars 2020,0,0,98,0,0.34,0.19,0.05,0,0,0.05
59,261.39,0,2020-03-22,22 mars 2020,0,0,75,0,1.49,0.55,0.36,0.15,0.03,0.1
60,82.98,0,2020-03-22,22 mars 2020,0,0,75,0,2.95,0.63,1.53,0.93,0.17,0.37
61,28.25,0,2020-03-22,22 mars 2020,0,0,46,0,0.67,0.18,0.99,0.04,0.04,0.35
62,147.51,0,2020-03-22,22 mars 2020,0,0,75,0,1.01,0.37,0.47,0.08,0.02,0.07
63,65.52,0,2020-03-22,22 mars 2020,0,0,77,0,0.53,0.12,0.21,0,0,0.02
64,67.72,0,2020-03-22,22 mars 2020,0,0,31,0,0.71,0.16,0.41,0.09,0.03,0.15
65,22.75,0,2020-03-22,22 mars 2020,0,0,45,0,0.92,0.22,0.26,0.04,0.04,0.09
66,48.21,0,2020-03-22,22 mars 2020,0,0,45,0,2.55,0.73,0.97,0.19,0.02,0.23
67,112.53,0,2020-03-22,22 mars 2020,0,0,163,0,7.41,1.99,2.33,1.04,0.17,0.67
68,76.76,0,2020-03-22,22 mars 2020,0,0,163,0,12.55,1.71,6.31,4.23,0.68,0.99
69,187.81,0,2020-03-22,22 mars 2020,0,0,77,0,4.58,1,1.39,0.51,0.09,0.3
70,23.43,0,2020-03-22,22 mars 2020,0,0,98,0,2.86,0.98,1.11,0.38,0.13,0.38
71,55.31,0,2020-03-22,22 mars 2020,0,0,98,0,3.29,0.56,2.91,0.61,0.13,0.89
72,56.69,0,2020-03-22,22 mars 2020,0,0,57,0,1.39,0.3,0.44,0.07,0.02,0.12
73,43.38,0,2020-03-22,22 mars 2020,0,0,77,0,1.52,0.37,0.58,0.07,0.02,0.12
74,82.97,0,2020-03-22,22 mars 2020,0,0,77,0,2.15,0.53,1.48,0.28,0.05,0.2
75,216.85,0,2020-03-22,22 mars 2020,0,0,137,0,8.89,2.39,2.3,0.97,0.19,0.38
76,125.70,0,2020-03-22,22 mars 2020,0,0,46,0,1.72,0.46,0.31,0.14,0.03,0.11
77,142.27,0,2020-03-22,22 mars 2020,0,0,137,0,2.71,0.82,0.88,0.22,0.07,0.17
78,143.84,0,2020-03-22,22 mars 2020,0,0,137,0,3.57,0.83,1.17,0.42,0.08,0.24
79,37.57,0,2020-03-22,22 mars 2020,0,0,31,0,0.45,0.03,0.37,0.05,0.03,0.05
80,57.02,0,2020-03-22,22 mars 2020,0,0,75,0,3.77,0.86,1.19,0.46,0.07,0.26
81,39.24,0,2020-03-22,22 mars 2020,0,0,45,0,0.76,0.33,0.2,0.03,0,0.08
82,26.26,0,2020-03-22,22 mars 2020,0,0,45,0,0.15,0.08,0.08,0.04,0,0.04
83,107.18,0,2020-03-22,22 mars 2020,0,0,45,0,1.3,0.35,1.3,0.11,0.04,0.1
84,56.61,0,2020-03-22,22 mars 2020,0,0,45,0,0.79,0.32,0.67,0.07,0.04,0.12
85,68.02,0,2020-03-22,22 mars 2020,0,0,57,0,0.96,0.18,0.19,0.06,0.01,0.04
86,43.81,0,2020-03-22,22 mars 2020,0,0,31,0,0.64,0.18,0.46,0.18,0.05,0.11
87,37.42,0,2020-03-22,22 mars 2020,0,0,31,0,1.04,0.19,0.13,0.11,0.03,0.05
88,36.49,0,2020-03-22,22 mars 2020,0,0,163,0,4.11,0.77,2.16,1.86,0.33,0.36
89,33.83,0,2020-03-22,22 mars 2020,0,0,98,0,1.12,0.35,0.06,0.09,0.03,0.03
90,14.45,0,2020-03-22,22 mars 2020,0,0,98,0,11.35,2.35,4.22,3.04,0.55,1.31
91,131.37,0,2020-03-22,22 mars 2020,0,0,137,0,3.93,0.96,0.85,0.16,0.04,0.27
92,161.28,0,2020-03-22,22 mars 2020,0,0,137,0,6.84,1.6,1.94,0.55,0.11,0.33
93,164.61,0,2020-03-22,22 mars 2020,0,0,137,0,4.13,0.87,1.14,0.61,0.13,0.38
94,140.12,0,2020-03-22,22 mars 2020,0,0,137,0,6.22,1.24,1.83,0.59,0.13,0.33
95,124.27,0,2020-03-22,22 mars 2020,0,0,137,0,4.26,0.93,2.21,0.75,0.12,0.51
971,39.07,0,2020-03-22,22 mars 2020,0,0,48,0,1.13,0.33,0.23,0.03,0.03,0.1
972,37.12,0,2020-03-22,22 mars 2020,0,0,58,0,1.43,0.4,0.4,0.03,0,0.3
973,28.16,0,2020-03-22,22 mars 2020,0,0,0,0,0,0,0,0,0,0
974,86.58,0,2020-03-22,22 mars 2020,0,0,6,0,0.17,0.03,0,0,0,0
976,25.92,0,2020-03-22,22 mars 2020,0,0,0,0,0,0,0,0,0,0
1,64.97,0,2020-03-29,29 mars 2020,0,0,134,0,1.68,0.51,1.28,0.34,0.08,0.29
2,53.43,0,2020-03-29,29 mars 2020,0,0,128,0,4.17,0.75,3.37,1.76,0.34,0.77
3,33.90,0,2020-03-29,29 mars 2020,0,0,134,0,1.3,0.41,1.65,0.21,0.03,0.21
4,16.17,0,2020-03-29,29 mars 2020,0,0,91,0,1.79,0.37,2.78,0.19,0.06,0.8
5,14.16,0,2020-03-29,29 mars 2020,0,0,91,0,4.52,1.2,2.97,0.07,0,0.42
6,108.06,0,2020-03-29,29 mars 2020,0,0,91,0,2.01,0.71,1.55,0.35,0.06,0.17
7,32.86,0,2020-03-29,29 mars 2020,0,0,134,0,2.89,0.49,4.02,0.79,0.18,0.61
8,27.13,0,2020-03-29,29 mars 2020,0,0,209,0,2.51,0.66,0.74,0.11,0.04,0.26
9,15.23,0,2020-03-29,29 mars 2020,0,0,69,0,1.12,0.39,0.66,0.07,0.07,0.13
10,31.16,0,2020-03-29,29 mars 2020,0,0,209,0,4.53,0.71,0.87,0.99,0.32,0.55
11,37.02,0,2020-03-29,29 mars 2020,0,0,69,0,2.76,0.54,1.54,0.65,0.11,0.19
12,28.11,0,2020-03-29,29 mars 2020,0,0,69,0,2.13,0.39,1.1,0.36,0.07,0.18
13,204.39,0,2020-03-29,29 mars 2020,0,0,91,0,5.09,1.18,3.57,0.44,0.07,0.49
14,69.58,0,2020-03-29,29 mars 2020,0,0,87,0,1.88,0.73,0.72,0.19,0.07,0.2
15,14.42,0,2020-03-29,29 mars 2020,0,0,134,0,1.73,0.49,0.21,0,0,0.07
16,35.20,0,2020-03-29,29 mars 2020,0,0,58,0,0.99,0.23,0.63,0.26,0.06,0.17
17,64.82,0,2020-03-29,29 mars 2020,0,0,58,0,1.22,0.39,0.56,0.17,0.05,0.09
18,30.48,0,2020-03-29,29 mars 2020,0,0,108,0,1.54,0.52,0.36,0.49,0.1,0.1
19,24.19,0,2020-03-29,29 mars 2020,0,0,58,0,1.78,0.33,0.62,0.29,0.12,0.12
21,53.68,0,2020-03-29,29 mars 2020,0,0,138,0,4.75,1.23,5.53,1.29,0.34,0.61
22,59.87,0,2020-03-29,29 mars 2020,0,0,70,0,1.09,0.28,0.42,0.17,0.05,0.1
23,11.87,0,2020-03-29,29 mars 2020,0,0,58,0,1.01,0.42,0.25,0.08,0.08,0.08
24,41.26,0,2020-03-29,29 mars 2020,0,0,58,0,0.61,0.15,0.32,0.02,0.02,0.07
25,54.09,0,2020-03-29,29 mars 2020,0,0,138,0,3.44,1.41,3.11,0.85,0.15,0.39
26,51.62,0,2020-03-29,29 mars 2020,0,0,134,0,4.92,1.34,2.31,1.07,0.19,0.31
27,61.02,0,2020-03-29,29 mars 2020,0,0,87,0,1.13,0.25,0.36,0.2,0.08,0.16
28,43.40,0,2020-03-29,29 mars 2020,0,0,108,0,3.73,0.71,1.75,0.55,0.14,0.46
29,91.05,0,2020-03-29,29 mars 2020,0,0,70,0,0.87,0.36,0.62,0.09,0.01,0.09
2A,15.99,0,2020-03-29,29 mars 2020,0,0,144,0,5.75,1.5,3,1.5,0.19,0.75
2B,17.79,0,2020-03-29,29 mars 2020,0,0,144,0,0.96,0.17,3.93,0.11,0,0.45
30,74.82,0,2020-03-29,29 mars 2020,0,0,69,0,0.99,0.4,0.55,0.19,0.04,0.12
31,138.84,0,2020-03-29,29 mars 2020,0,0,69,0,1.63,0.76,1.08,0.1,0.03,0.14
32,19.13,0,2020-03-29,29 mars 2020,0,0,69,0,1.41,0.26,0.37,0.37,0.1,0.1
33,161.08,0,2020-03-29,29 mars 2020,0,0,58,0,1.93,0.57,1.89,0.25,0.03,0.29
34,116.00,0,2020-03-29,29 mars 2020,0,0,69,0,2.28,0.69,1.86,0.44,0.07,0.31
35,107.39,0,2020-03-29,29 mars 2020,0,0,70,0,1.22,0.35,0.76,0.16,0.04,0.1
36,21.85,0,2020-03-29,29 mars 2020,0,0,108,0,2.56,0.5,0.41,0.78,0.18,0.14
37,61.11,0,2020-03-29,29 mars 2020,0,0,108,0,2.78,0.9,0.9,0.28,0.1,0.18
38,127.28,0,2020-03-29,29 mars 2020,0,0,134,0,1.6,0.49,0.97,0.18,0.04,0.13
39,25.94,0,2020-03-29,29 mars 2020,0,0,138,0,2.7,0.42,1.5,0.5,0.23,0.27
40,41.18,0,2020-03-29,29 mars 2020,0,0,58,0,0.53,0.29,0.29,0.02,0.02,0.07
41,33.26,0,2020-03-29,29 mars 2020,0,0,108,0,2.19,0.42,1.02,0.36,0.09,0.45
42,76.25,0,2020-03-29,29 mars 2020,0,0,134,0,6.11,1.34,2.15,0.92,0.17,0.42
43,22.74,0,2020-03-29,29 mars 2020,0,0,134,0,1.01,0.26,1.1,0.13,0.04,0.13
44,141.33,0,2020-03-29,29 mars 2020,0,0,97,0,1.73,0.45,0.86,0.32,0.04,0.13
45,68.15,0,2020-03-29,29 mars 2020,0,0,108,0,3.35,1.07,1.26,0.31,0.06,0.31
46,17.15,0,2020-03-29,29 mars 2020,0,0,69,0,1.11,0.35,1.11,0,0,0.35
47,33.32,0,2020-03-29,29 mars 2020,0,0,58,0,0.9,0.24,0.36,0.09,0,0.09
48,7.55,0,2020-03-29,29 mars 2020,0,0,69,0,1.19,0.26,1.19,0,0,0.26
49,82.07,0,2020-03-29,29 mars 2020,0,0,97,0,1.91,0.67,2.02,0.35,0.06,0.23
50,49.70,0,2020-03-29,29 mars 2020,0,0,87,0,1.31,0.42,0.58,0.22,0.06,0.1
51,57.33,0,2020-03-29,29 mars 2020,0,0,209,0,6.7,1.24,4.41,1.22,0.26,0.63
52,17.51,0,2020-03-29,29 mars 2020,0,0,209,0,5.65,0.91,2.51,1.31,0.57,0.63
53,30.63,0,2020-03-29,29 mars 2020,0,0,97,0,2.45,0.46,0.46,0.36,0.07,0.13
54,73.31,0,2020-03-29,29 mars 2020,0,0,209,0,6.83,2.46,2.86,1.39,0.23,0.55
55,18.74,0,2020-03-29,29 mars 2020,0,0,209,0,8.64,1.12,6.14,1.44,0.27,0.96
56,75.35,0,2020-03-29,29 mars 2020,0,0,70,0,1.9,0.42,1.46,0.53,0.04,0.17
57,103.86,0,2020-03-29,29 mars 2020,0,0,209,0,9.92,1.74,4.55,3,0.4,0.67
