id,dep,jour,jour_fr,indic_hosp,indic_rea,indic_rad,indic_dc
862020-03-190,86,2020-03-19,19 mars 2020,6,1,0,0
872020-03-190,87,2020-03-19,19 mars 2020,4,1,0,0
882020-03-190,88,2020-03-19,19 mars 2020,17,1,1,5
892020-03-190,89,2020-03-19,19 mars 2020,2,2,0,2
902020-03-190,90,2020-03-19,19 mars 2020,28,3,0,5
912020-03-190,91,2020-03-19,19 mars 2020,49,14,4,1
922020-03-190,92,2020-03-19,19 mars 2020,95,19,13,3
932020-03-190,93,2020-03-19,19 mars 2020,103,30,16,9
942020-03-190,94,2020-03-19,19 mars 2020,113,17,35,6
952020-03-190,95,2020-03-19,19 mars 2020,80,8,15,4
9712020-03-190,971,2020-03-19,19 mars 2020,0,0,0,0
9722020-03-190,972,2020-03-19,19 mars 2020,1,0,0,0
9732020-03-190,973,2020-03-19,19 mars 2020,0,0,0,0
9742020-03-190,974,2020-03-19,19 mars 2020,0,0,0,0
9762020-03-190,976,2020-03-19,19 mars 2020,0,0,0,0
012020-03-200,1,2020-03-20,20 mars 2020,0,0,1,0
022020-03-200,2,2020-03-20,20 mars 2020,10,3,9,3
032020-03-200,3,2020-03-20,20 mars 2020,4,0,3,0
042020-03-200,4,2020-03-20,20 mars 2020,0,0,0,0
052020-03-200,5,2020-03-20,20 mars 2020,2,0,0,0
062020-03-200,6,2020-03-20,20 mars 2020,22,3,10,2
072020-03-200,7,2020-03-20,20 mars 2020,7,0,3,1
082020-03-200,8,2020-03-20,20 mars 2020,0,0,0,0
092020-03-200,9,2020-03-20,20 mars 2020,1,0,0,0
102020-03-200,10,2020-03-20,20 mars 2020,2,0,0,0
112020-03-200,11,2020-03-20,20 mars 2020,10,2,1,2
122020-03-200,12,2020-03-20,20 mars 2020,4,0,1,0
132020-03-200,13,2020-03-20,20 mars 2020,44,5,7,0
142020-03-200,14,2020-03-20,20 mars 2020,1,0,2,1
152020-03-200,15,2020-03-20,20 mars 2020,1,0,0,0
162020-03-200,16,2020-03-20,20 mars 2020,1,0,0,0
172020-03-200,17,2020-03-20,20 mars 2020,2,1,0,0
182020-03-200,18,2020-03-20,20 mars 2020,0,0,0,0
192020-03-200,19,2020-03-20,20 mars 2020,0,0,0,0
212020-03-200,21,2020-03-20,20 mars 2020,39,4,9,1
222020-03-200,22,2020-03-20,20 mars 2020,1,0,0,0
232020-03-200,23,2020-03-20,20 mars 2020,0,0,0,0
242020-03-200,24,2020-03-20,20 mars 2020,1,1,1,0
252020-03-200,25,2020-03-20,20 mars 2020,12,1,0,1
262020-03-200,26,2020-03-20,20 mars 2020,3,2,0,1
272020-03-200,27,2020-03-20,20 mars 2020,2,0,0,0
282020-03-200,28,2020-03-20,20 mars 2020,1,0,0,0
292020-03-200,29,2020-03-20,20 mars 2020,1,0,0,1
2A2020-03-200,2A,2020-03-20,20 mars 2020,8,0,1,2
2B2020-03-200,2B,2020-03-20,20 mars 2020,28,0,22,0
302020-03-200,30,2020-03-20,20 mars 2020,4,0,0,0
312020-03-200,31,2020-03-20,20 mars 2020,13,5,0,1
322020-03-200,32,2020-03-20,20 mars 2020,0,0,0,0
332020-03-200,33,2020-03-20,20 mars 2020,5,3,3,0
342020-03-200,34,2020-03-20,20 mars 2020,15,6,1,1
352020-03-200,35,2020-03-20,20 mars 2020,8,2,1,1
362020-03-200,36,2020-03-20,20 mars 2020,1,1,0,0
372020-03-200,37,2020-03-20,20 mars 2020,6,1,0,1
382020-03-200,38,2020-03-20,20 mars 2020,8,0,5,0
392020-03-200,39,2020-03-20,20 mars 2020,5,0,1,0
402020-03-200,40,2020-03-20,20 mars 2020,0,0,0,0
412020-03-200,41,2020-03-20,20 mars 2020,3,1,0,0
422020-03-200,42,2020-03-20,20 mars 2020,13,4,1,1
432020-03-200,43,2020-03-20,20 mars 2020,2,1,1,0
442020-03-200,44,2020-03-20,20 mars 2020,5,3,1,0
452020-03-200,45,2020-03-20,20 mars 2020,11,1,0,0
462020-03-200,46,2020-03-20,20 mars 2020,0,0,0,0
472020-03-200,47,2020-03-20,20 mars 2020,0,0,0,0
482020-03-200,48,2020-03-20,20 mars 2020,0,0,0,0
492020-03-200,49,2020-03-20,20 mars 2020,9,0,7,0
502020-03-200,50,2020-03-20,20 mars 2020,6,2,0,0
512020-03-200,51,2020-03-20,20 mars 2020,16,3,9,0
522020-03-200,52,2020-03-20,20 mars 2020,13,0,5,3
532020-03-200,53,2020-03-20,20 mars 2020,1,0,0,0
542020-03-200,54,2020-03-20,20 mars 2020,9,1,0,1
552020-03-200,55,2020-03-20,20 mars 2020,5,1,1,0
562020-03-200,56,2020-03-20,20 mars 2020,6,0,2,0
572020-03-200,57,2020-03-20,20 mars 2020,76,14,8,3
582020-03-200,58,2020-03-20,20 mars 2020,0,0,0,0
592020-03-200,59,2020-03-20,20 mars 2020,19,9,4,1
602020-03-200,60,2020-03-20,20 mars 2020,11,6,4,1
612020-03-200,61,2020-03-20,20 mars 2020,0,0,0,0
622020-03-200,62,2020-03-20,20 mars 2020,25,9,6,1
632020-03-200,63,2020-03-20,20 mars 2020,0,0,4,0
642020-03-200,64,2020-03-20,20 mars 2020,1,0,1,1
652020-03-200,65,2020-03-20,20 mars 2020,0,0,0,0
